174	a unit of measurement of volume or capacity	volume unit|capacity unit|capacity measure|cubage unit|cubic measure|cubic content unit|displacement unit|cubature unit
175	a quantity of no importance	nothing|nil|nix|nada|null|aught|cipher|cypher
176	two items of the same kind	couple|pair|twosome|twain|brace|span|yoke|couplet
177	a small worthless amount	jack|doodly-squat|diddly-squat|diddlysquat|diddly-shit|diddlyshit|diddly|diddley
178	a tiny or scarcely detectable amount	shred|scintilla|whit|iota|tittle|smidgen|smidgeon|smidgin
179	a slight but appreciable amount	touch|hint|tinge|mite|pinch|jot|speck|soupcon
180	(often followed by `of') a large number or amount or extent	batch|deal|flock|good deal|great deal|hatful|heap|lot
181	a large number or amount	tons|dozens|heaps|lots|piles|scores|stacks|loads
182	a round shape formed by a series of concentric circles (as formed by leaves or flower petals)	coil|whorl|roll|curl|curlicue|ringlet|gyre|scroll
183	something that bulges out or is protuberant or projects from its surroundings	bulge|bump|hump|swelling|gibbosity|gibbousness|jut|prominence
184	the highest level or degree attainable	acme|height|elevation|peak|pinnacle|summit|superlative|meridian
185	a disorderly outburst or tumult	disturbance|disruption|commotion|flutter|hurly burly|to-do|hoo-ha|hoo-hah
186	a condition (mostly in boys) characterized by behavioral and learning disorders	attention deficit disorder|ADD|attention deficit hyperactivity disorder|ADHD|hyperkinetic syndrome|minimal brain dysfunction|minimal brain damage|MBD
187	severe diabetes mellitus with an early onset	type I diabetes|insulin-dependent diabetes mellitus|IDDM|juvenile-onset diabetes|juvenile diabetes|growth-onset diabetes|ketosis-prone diabetes|ketoacidosis-prone diabetes
188	mild form of diabetes mellitus that develops gradually in adults	type II diabetes|non-insulin-dependent diabetes mellitus|NIDDM|non-insulin-dependent diabetes|ketosis-resistant diabetes mellitus|ketosis-resistant diabetes|ketoacidosis-resistant diabetes mellitus|ketoacidosis-resistant diabetes
189	a mild form of smallpox caused by a less virulent form of the virus	alastrim|variola minor|pseudosmallpox|pseudovariola|milk pox|white pox|West Indian smallpox|Cuban itch
190	a communicable infection transmitted by sexual intercourse or genital contact	venereal disease|VD|venereal infection|social disease|Cupid's itch|Cupid's disease|Venus's curse|dose
191	a disease or disorder that is inherited genetically	genetic disease|genetic disorder|genetic abnormality|genetic defect|congenital disease|inherited disease|inherited disorder|hereditary disease
192	presence of excess lipids in the blood	lipemia|lipaemia|lipidemia|lipidaemia|lipoidemia|lipoidaemia|hyperlipemia|hyperlipaemia
193	a rare chronic progressive encephalitis caused by the measles virus and occurring primarily in children and young adults	subacute sclerosing panencephalitis|SSPE|inclusion body encephalitis|subacute inclusion body encephalitis|sclerosing leukoencephalitis|subacute sclerosing leukoencephalitis|Bosin's disease|Dawson's encephalitis
194	enlargement of the nose with dilation of follicles and redness and prominent vascularity of the skin	rhinophyma|hypertrophic rosacea|toper's nose|brandy nose|rum nose|rum-blossom|potato nose|hammer nose
195	everything available	whole shebang|whole kit and caboodle|kit and caboodle|whole kit and boodle|kit and boodle|whole kit|whole caboodle|whole works
196	the general atmosphere of a place or situation and the effect that it has on people	spirit|tone|feel|feeling|flavor|flavour|look|smell
197	a white crystalline oxide used in the production of calcium hydroxide	calcium oxide|quicklime|lime|calx|calcined lime|fluxing lime|unslaked lime|burnt lime
198	solid excretory product evacuated from the bowels	fecal matter|faecal matter|feces|faeces|BM|stool|ordure|dejection
199	salt of potassium (KCl) (trade names K-Dur 20, Kaochlor and K-lor and Klorvess and K-lyte)	potassium chloride|potassium muriate|potash muriate|K-Dur 20|Kaochlor|K-lor|Klorvess|K-lyte
200	any thick, viscous matter	sludge|slime|goo|goop|gook|guck|gunk|muck
201	the first light of day	dawn|dawning|morning|aurora|first light|daybreak|break of day|break of the day
202	the time of day immediately following sunset	twilight|dusk|gloaming|gloam|nightfall|evenfall|fall|crepuscule
203	(New Testament) day at the end of time following Armageddon when God will decree the fates of all individual humans according to the good and evil of their eart	Judgment Day|Judgement Day|Day of Judgment|Day of Judgement|Doomsday|Last Judgment|Last Judgement|Last Day
204	(Judaism) a Jewish holy day celebrated on the 22nd or 23rd of Tishri to celebrate the completion of the annual cycle of readings of the Torah	Shimchath Torah|Simchat Torah|Simhath Torah|Simhat Torah|Simchas Torah|Rejoicing over the Law|Rejoicing of the Law|Rejoicing in the Law
205	(Judaism) a major fast day on the Jewish calendar commemorating the destruction of the temples in Jerusalem	Tishah b'Av|Tishah b'Ab|Tisha b'Av|Tisha b'Ab|Ninth of Av|Ninth of Ab|Fast of Av|Fast of Ab
206	(Judaism) an eight-day Jewish holiday commemorating the rededication of the Temple of Jerusalem in 165 BC	Hanukkah|Hanukah|Hannukah|Chanukah|Chanukkah|Channukah|Channukkah|Festival of Lights
207	a very short time (as the time it takes the eye to blink or the heart to beat)	blink of an eye|flash|heartbeat|instant|jiffy|split second|trice|twinkling
208	the time at which something is supposed to begin	beginning|commencement|first|outset|get-go|start|kickoff|starting time
209	the period of greatest prosperity or productivity	flower|prime|peak|heyday|bloom|blossom|efflorescence|flush
210	small Australian parakeet usually light green with black and yellow markings in the wild but bred in many colors	budgerigar|budgereegah|budgerygah|budgie|grass parakeet|lovebird|shell parakeet|Melopsittacus undulatus
211	the delivery of a fetus by surgical incision through the abdominal wall and uterus (from the belief that Julius Caesar was born that way)	cesarean delivery|caesarean delivery|caesarian delivery|cesarean section|cesarian section|caesarean section|caesarian section|C-section
212	terrestrial worm that burrows into and helps aerate soil	earthworm|angleworm|fishworm|fishing worm|wiggler|nightwalker|nightcrawler|crawler
213	the termination of someone's employment (leaving them free to depart)	dismissal|dismission|discharge|firing|liberation|release|sack|sacking
214	slender-bodied non-stinging insect having iridescent wings that are outspread at rest	dragonfly|darning needle|devil's darning needle|sewing needle|snake feeder|snake doctor|mosquito hawk|skeeter hawk
215	the act of starting something for the first time	initiation|founding|foundation|institution|origination|creation|innovation|introduction
216	all of the living human inhabitants of the earth	world|human race|humanity|humankind|human beings|humans|mankind|man
217	raccoon-like omnivorous mammal of Mexico and the southwestern United States having a long bushy tail with black and white rings	bassarisk|cacomistle|cacomixle|coon cat|raccoon fox|ringtail|ring-tailed cat|civet cat
218	fishes having large mouths with a wormlike filament attached for luring prey	goosefish|angler|anglerfish|angler fish|monkfish|lotte|allmouth|Lophius Americanus
219	street name for lysergic acid diethylamide	acid|back breaker|battery-acid|dose|dot|Elvis|loony toons|Lucy in the sky with diamonds
220	a device or control that is very useful for a particular job	appliance|contraption|contrivance|convenience|gadget|gizmo|gismo|widget
221	a bin that holds rubbish until it is collected	ashcan|trash can|garbage can|wastebin|ash bin|ash-bin|ashbin|dustbin
222	a small vehicle with four wheels in which a baby or child is pushed around	baby buggy|baby carriage|carriage|perambulator|pram|stroller|go-cart|pushchair
223	pejorative terms for an insane asylum	Bedlam|booby hatch|crazy house|cuckoo's nest|funny farm|funny house|loony bin|madhouse
224	a vehicle carrying many passengers	bus|autobus|coach|charabanc|double-decker|jitney|motorbus|motorcoach
225	goods carried by a large vehicle	cargo|lading|freight|load|loading|payload|shipment|consignment
226	an engine that provided medieval artillery used during sieges	catapult|arbalest|arbalist|ballista|bricole|mangonel|onager|trebuchet
227	something unspecified whose name is either forgotten or not known	doodad|doohickey|doojigger|gimmick|gizmo|gismo|gubbins|thingamabob
228	a man's hat with a tall crown	dress hat|high hat|opera hat|silk hat|stovepipe|top hat|topper|beaver
229	a broad highway designed for high-speed traffic	expressway|freeway|motorway|pike|state highway|superhighway|throughway|thruway
